episode_time_s,vehicle_order,vehicle_id,position_m,speed_mps,space_headway_m,time_headway,preceding
3.2,0,395,165.6956808,12.182856000000001,27.136344,2.23,383
3.3,0,395,166.9164048,12.13104,26.956512,2.22,383
3.4,0,395,168.1310328,12.018264,26.791920000000005,2.23,383
3.5,0,395,169.3304208,11.832336000000002,26.657808,2.25,383
3.6,0,395,170.50420560000003,11.600688000000002,26.554176000000002,2.29,383
3.7,0,395,171.64872960000002,11.387328,26.474928000000002,2.32,383
3.8,0,395,172.7694792,11.262360000000001,26.420064000000004,2.35,383
3.9,0,395,173.88474240000002,11.244072000000001,26.371296,2.35,383
4.0,0,395,175.01189280000003,11.265408,26.313384,2.34,383
4.1,0,395,176.14788240000001,11.219688000000001,26.24328,2.34,383
4.2,0,395,177.2722896,11.073384,26.185368,2.36,383
4.3,0,395,178.36896000000002,10.88136,26.154888000000003,2.4,383
4.4,0,395,179.440332,10.738104,26.15184,2.44,383
4.5,0,395,180.50408400000003,10.674096000000002,26.157936,2.45,383
4.6,0,395,181.5727128,10.628376,26.157936,2.46,383
4.7,0,395,182.64042720000003,10.509504,26.142696,2.49,383
4.8,0,395,183.68954879999998,10.293096000000002,26.124408,2.54,383
4.9,0,395,184.70575200000002,10.02792,26.112216,2.6,383
5.0,0,395,185.68842720000004,9.802368,26.115264000000003,2.66,383
5.1,0,395,186.6525096,9.6774,26.1366,2.7,383
5.2,0,395,187.6114104,9.634728,26.16708,2.72,383
5.3,0,395,188.5709208,9.665208000000002,26.2128,2.71,383
5.4,0,395,189.53561280000002,9.765792,26.261568,2.69,383
5.5,0,395,190.516764,9.906,26.295096,2.65,383
5.6,0,395,191.5146792,10.0584,26.313384,2.62,383
5.7,0,395,192.528444,10.238232000000002,26.331672,2.57,383
5.8,0,395,193.5614112,10.40892,26.356056000000002,2.53,383
5.9,0,395,194.61236159999999,10.549128,26.371296,2.5,383
6.0,0,395,195.680076,10.646664000000001,26.359104000000002,2.48,383
6.1,0,395,196.751448,10.674096000000002,26.316432000000002,2.47,383
6.2,0,395,197.81763840000002,10.668000000000001,26.264616,2.46,383
6.3,0,395,198.88443840000002,10.668000000000001,26.224992000000004,2.46,383
6.4,0,395,199.95093359999998,10.674096000000002,26.206704000000002,2.46,383
6.5,0,395,201.0189528,10.677144,26.206704000000002,2.45,383
6.6,0,395,202.09002,10.643616000000002,26.206704000000002,2.46,383
6.7,0,395,203.15682,10.552176,26.209751999999998,2.48,383
6.8,0,395,204.20807520000002,10.421111999999999,26.224992000000004,2.52,383
6.9,0,395,205.2407376,10.280904,26.258520000000004,2.55,383
7.0,0,395,206.261208,10.152888,26.30424,2.59,383
7.1,0,395,207.274668,9.99744,26.356056000000002,2.64,383
7.2,0,395,208.27166880000001,9.777984,26.426160000000003,2.7,383
7.3,0,395,209.2369704,9.518904000000001,26.529792000000004,2.79,383
7.4,0,395,210.16904879999998,9.299448000000002,26.663904000000002,2.87,383
7.5,0,395,211.08222960000003,9.17448,26.819352,2.92,383
7.6,0,395,211.99144800000002,9.134856000000001,26.974800000000002,2.95,383
7.7,0,395,212.9046288,9.140952,27.127200000000002,2.97,383
7.8,0,395,213.81963840000003,9.144,27.29484,2.98,383
7.9,0,395,214.73403840000003,9.144,27.496008,3.01,383
8.0,0,395,215.64843840000003,9.144,27.736800000000002,3.03,383
8.1,0,395,216.5625336,9.144,28.014168,3.06,383
8.2,0,395,217.4769336,9.144,28.30068,3.1,383
8.3,0,395,218.3913336,9.144,28.587192,3.13,383
8.4,0,395,219.3057336,9.144,28.870656,3.16,383
8.5,0,395,220.2201336,9.144,29.154120000000002,3.19,383
8.6,0,395,221.1345336,9.144,29.425392000000002,3.22,383
8.7,0,395,222.0489336,9.144,29.666184,3.24,383
8.8,0,395,222.9633336,9.144,29.867352,3.27,383
8.9,0,395,223.8774288,9.144,30.025848000000003,3.28,383
9.0,0,395,224.7918288,9.144,30.178248000000004,3.3,383
9.1,0,395,225.7062288,9.144,30.364176000000004,3.32,383
9.2,0,395,226.6206288,9.144,30.595824,3.35,383
9.3,0,395,227.5350288,9.144,30.867096,3.38,383
9.4,0,395,228.4494288,9.144,31.174944000000004,3.41,383
